link,gambar,nama,harga,diskon
https://shopee.co.id/REDINET-Jaring-Paranet-Anti-Uv-90-Pelindung-Sinar-Matahari-Shading-Net-3m-x-6m-1pcs-i.223069711.45010213469?extraParams=%7B%22display_model_id%22%3A400896032336%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wk-mo0lc8xf1ceed9,REDINET Jaring Paranet Anti Uv 90% Pelindung Sinar Matahari Shading Net 3m x 6m - 1pcs,137.500,-,-1%
https://shopee.co.id/PUPUK-CAIR-BOOSTER-AVOCADO-TANI-JAYA-500ML-i.223069711.44660185361?extraParams=%7B%22display_model_id%22%3A345892848169%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wo-mnzf8xxb6upyf0,PUPUK CAIR BOOSTER AVOCADO TANI JAYA 500ML,54.500,-,-1%
https://shopee.co.id/EM4-ORGANIK-CAIR-Pengolah-Limbah-Toilet-1-liter-i.223069711.44230681699?extraParams=%7B%22display_model_id%22%3A355887575952%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wm-mnzv0o1i7toi32,EM4 ORGANIK CAIR - Pengolah Limbah & Toilet 1 liter,36.000,-,-1%
https://shopee.co.id/Media-Tanam-TANAH-MALANG-HUMUS-KOMPOS-ORGANIK-LEMBANG-1kg-i.223069711.42930728141?extraParams=%7B%22display_model_id%22%3A445896342190%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wo-mo0o2lyoskqt0d,Media Tanam - TANAH MALANG HUMUS KOMPOS ORGANIK LEMBANG - 1kg,9.500,-,-5%
https://shopee.co.id/Sekam-Bakar-Media-Tanam-Hidroponik-Kemasan-1kg-i.223069711.42730729503?extraParams=%7B%22display_model_id%22%3A282603398060%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wq-mo0vravu445d8b,Sekam Bakar Media Tanam Hidroponik Kemasan 1kg,8.750,-,-5%
https://shopee.co.id/Media-Tanam-PERLITE-JEPANG-3-8-mm-500-gr-i.223069711.42380735898?extraParams=%7B%22display_model_id%22%3A330896879378%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wt-mo0sfcx5zgn6ae,Media Tanam - PERLITE JEPANG 3-8 mm 500 gr,40.500,-,-1%
https://shopee.co.id/Media-Tanam-Sekam-Mentah-Fermentasi-Organik-1kg-i.223069711.42130740456?extraParams=%7B%22display_model_id%22%3A335896788805%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wn-mo0rb5lnuxhc0f,Media Tanam Sekam Mentah Fermentasi Organik 1kg,11.250,-,-4%
https://shopee.co.id/Fungisida-ANTRACOL-70-WP-Kemasan-50gr-i.223069711.42080740802?extraParams=%7B%22display_model_id%22%3A302603207441%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wp-mo0u3crk0x6s5b,Fungisida ANTRACOL 70 WP - Kemasan 50gr,17.750,-,-3%
https://shopee.co.id/Nutrisi-Hidroponik-AB-Mix-NETAFARM-SAYUR-BUAH-500-lt-PREMIUM-i.223069711.42030729426?extraParams=%7B%22display_model_id%22%3A340897297001%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wm-mo0vravy90cj68,Nutrisi Hidroponik AB Mix NETAFARM - SAYUR BUAH 500 lt - PREMIUM,96.500,-,-1%
https://shopee.co.id/GUANO-PHOSPHATE-NPK-0-15-0-Organik-500gr-i.223069711.41480698695?extraParams=%7B%22display_model_id%22%3A375892003711%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wp-mnz8msv9frwg9c,GUANO PHOSPHATE NPK 0-15-0 Organik 500gr,6.000,-,-8%
https://shopee.co.id/pH-Down-Phosphor-Penurun-pH-Air-Nutrisi-Hidroponik-dan-Ikan-1000ml-i.223069711.41130724220?extraParams=%7B%22display_model_id%22%3A206389605700%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wh-mo0jvjubkyrld1,pH Down Phosphor + | Penurun pH Air Nutrisi Hidroponik dan Ikan - 1000ml,46.000,-,-1%
https://shopee.co.id/Fungisida-ANTRACOL-70-WP-Kemasan-500gr-i.223069711.40730728967?extraParams=%7B%22display_model_id%22%3A375896969404%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wu-mo0t67iv7476e0,Fungisida ANTRACOL 70 WP - Kemasan 500gr,122.250,-,-1%
https://shopee.co.id/Keranjang-pupuk-Pot-pupuk-Tempat-pupuk-Hitam-Satuan-i.223069711.40580712087?extraParams=%7B%22display_model_id%22%3A345893209550%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wt-mnzhz7ethpfpcc,Keranjang pupuk / Pot pupuk / Tempat pupuk - Hitam Satuan,2.000,-,-20%
https://shopee.co.id/REDINET-Jaring-Paranet-Anti-Uv-90-Pelindung-Sinar-Matahari-Shading-Net-2m-x-4m-1pcs-i.223069711.27894778229?extraParams=%7B%22display_model_id%22%3A395895955066%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wh-mo0kl3d97vgk03,REDINET Jaring Paranet Anti Uv 90% Pelindung Sinar Matahari Shading Net 2m x 4m - 1pcs,62.000,-,-1%
